일자	시가	종가	고가	저가	5	20	60	120	BB_상한선	BB_중심선	BB_하한선	거래량	5	20	60	120
20230120	"62,100"	"61,800"	"62,300"	"61,100"	"61,160"	"59,030"	"59,933"	"58,801"	"63,192"	"59,030"	"54,868"	"9,646,327"	"10,782,057"	"12,916,619"	"12,837,795"	"13,435,589"
20230119	"60,500"	"61,500"	"61,500"	"60,400"	"60,960"	"58,895"	"59,895"	"58,802"	"62,859"	"58,895"	"54,931"	"12,808,490"	"11,354,857"	"12,970,334"	"13,039,635"	"13,444,748"
20230118	"60,700"	"60,400"	"61,000"	"59,900"	"60,760"	"58,720"	"59,860"	"58,804"	"62,514"	"58,720"	"54,926"	"11,584,041"	"12,013,672"	"12,847,758"	"13,173,243"	"13,399,018"
20230117	"61,200"	"61,000"	"61,500"	"60,600"	"60,780"	"58,630"	"59,815"	"58,815"	"62,345"	"58,630"	"54,915"	"9,831,456"	"12,159,014"	"12,732,794"	"13,270,270"	"13,357,461"
20230116	"61,300"	"61,100"	"61,600"	"60,800"	"60,660"	"58,555"	"59,757"	"58,816"	"62,134"	"58,555"	"54,976"	"10,039,972"	"13,164,682"	"12,626,031"	"13,388,821"	"13,352,147"
20230113	"60,500"	"60,800"	"61,200"	"60,400"	"60,580"	"58,475"	"59,670"	"58,818"	"61,890"	"58,475"	"55,060"	"12,510,328"	"14,884,709"	"12,775,712"	"13,412,422"	"13,353,991"
20230112	"61,100"	"60,500"	"61,200"	"59,900"	"60,220"	"58,400"	"59,582"	"58,826"	"61,670"	"58,400"	"55,130"	"16,102,561"	"15,849,641"	"12,585,998"	"13,489,044"	"13,352,167"
20230111	"61,000"	"60,500"	"61,200"	"60,300"	"59,760"	"58,400"	"59,503"	"58,826"	"61,670"	"58,400"	"55,130"	"12,310,751"	"15,765,694"	"12,191,244"	"13,431,679"	"13,357,831"
20230110	"60,200"	"60,400"	"61,100"	"59,900"	"59,220"	"58,360"	"59,437"	"58,829"	"61,545"	"58,360"	"55,175"	"14,859,797"	"17,341,158"	"12,027,750"	"13,473,512"	"13,382,310"
20230109	"59,700"	"60,700"	"60,700"	"59,600"	"58,220"	"58,315"	"59,373"	"58,842"	"61,408"	"58,315"	"55,222"	"18,640,107"	"17,078,605"	"11,736,584"	"13,453,213"	"13,432,082"
20230106	"58,300"	"59,000"	"59,400"	"57,900"	"57,180"	"58,300"	"59,300"	"58,836"	"61,349"	"58,300"	"55,251"	"17,334,989"	"15,356,873"	"11,331,060"	"13,357,950"	"13,432,461"
20230105	"58,200"	"58,200"	"58,800"	"57,600"	"56,440"	"58,310"	"59,237"	"58,823"	"61,369"	"58,310"	"55,251"	"15,682,826"	"14,149,062"	"11,113,651"	"13,298,777"	"13,413,562"
20230104	"55,700"	"57,800"	"58,000"	"55,600"	"56,120"	"58,345"	"59,197"	"58,822"	"61,415"	"58,345"	"55,275"	"20,188,071"	"13,945,579"	"10,934,543"	"13,344,212"	"13,373,216"
20230103	"55,400"	"55,400"	"56,000"	"54,500"	"56,180"	"58,415"	"59,157"	"58,824"	"61,495"	"58,415"	"55,335"	"13,547,030"	"12,041,370"	"10,619,555"	"13,365,042"	"13,282,782"
20230102	"55,500"	"55,500"	"56,100"	"55,200"	"56,680"	"58,660"	"59,170"	"58,853"	"61,513"	"58,660"	"55,807"	"10,031,448"	"10,683,246"	"10,630,592"	"13,420,705"	"13,278,579"
20221229	"56,000"	"55,300"	"56,200"	"55,300"	"57,200"	"58,905"	"59,183"	"58,879"	"61,456"	"58,905"	"56,354"	"11,295,935"	"10,642,838"	"10,895,579"	"13,502,588"	"13,322,811"
20221228	"57,600"	"56,600"	"57,600"	"56,400"	"57,960"	"59,270"	"59,195"	"58,903"	"61,742"	"59,270"	"56,798"	"14,665,410"	"10,527,777"	"11,162,355"	"13,688,639"	"13,406,368"
20221227	"58,000"	"58,100"	"58,400"	"57,900"	"58,240"	"59,550"	"59,172"	"58,902"	"62,017"	"59,550"	"57,083"	"10,667,027"	"9,666,089"	"11,417,529"	"13,763,356"	"13,424,327"
20221226	"58,000"	"57,900"	"58,100"	"57,700"	"58,340"	"59,675"	"59,088"	"58,894"	"62,088"	"59,675"	"57,262"	"6,756,411"	"9,389,636"	"11,234,886"	"13,960,626"	"13,453,906"
20221223	"58,200"	"58,100"	"58,400"	"57,700"	"58,660"	"59,785"	"59,000"	"58,888"	"62,061"	"59,785"	"57,509"	"9,829,407"	"9,577,591"	"11,326,517"	"14,079,387"	"13,545,996"
20221222	"58,100"	"59,100"	"59,100"	"58,100"	"58,940"	"59,930"	"58,913"	"58,872"	"62,126"	"59,930"	"57,734"	"10,720,630"	"10,218,429"	"11,168,943"	"14,248,749"	"13,672,268"
20221221	"58,700"	"58,000"	"59,100"	"58,000"	"58,980"	"60,045"	"58,832"	"58,854"	"62,296"	"60,045"	"57,794"	"10,356,971"	"9,817,511"	"11,039,162"	"14,347,260"	"13,740,556"
20221220	"59,000"	"58,600"	"59,100"	"58,500"	"59,480"	"60,195"	"58,763"	"58,854"	"62,274"	"60,195"	"58,116"	"9,284,761"	"9,387,614"	"10,959,566"	"14,424,785"	"13,776,557"
20221219	"59,500"	"59,500"	"59,900"	"59,100"	"59,700"	"60,295"	"58,695"	"58,861"	"62,246"	"60,295"	"58,344"	"7,696,187"	"9,338,836"	"10,965,893"	"14,445,972"	"13,812,022"
20221216	"58,300"	"59,500"	"59,500"	"58,300"	"59,700"	"60,390"	"58,610"	"58,855"	"62,362"	"60,390"	"58,418"	"13,033,596"	"9,606,893"	"11,049,988"	"14,530,811"	"13,898,905"
20221215	"59,800"	"59,300"	"60,200"	"59,300"	"59,880"	"60,505"	"58,540"	"58,846"	"62,523"	"60,505"	"58,487"	"8,716,039"	"9,106,100"	"11,010,134"	"14,511,312"	"13,984,093"
20221214	"59,800"	"60,500"	"60,600"	"59,800"	"59,860"	"60,610"	"58,482"	"58,830"	"62,585"	"60,610"	"58,635"	"8,207,485"	"9,960,255"	"11,239,246"	"14,600,069"	"14,147,614"
20221213	"59,600"	"59,700"	"60,300"	"59,400"	"59,540"	"60,720"	"58,413"	"58,806"	"62,893"	"60,720"	"58,547"	"9,040,873"	"10,738,891"	"11,474,335"	"14,667,922"	"14,273,674"
20221212	"59,900"	"59,500"	"60,000"	"59,400"	"59,440"	"60,855"	"58,355"	"58,796"	"63,092"	"60,855"	"58,618"	"9,036,472"	"11,708,376"	"11,637,841"	"14,741,516"	"14,407,901"
20221209	"59,300"	"60,400"	"60,600"	"59,300"	"59,600"	"60,975"	"58,297"	"58,789"	"63,166"	"60,975"	"58,784"	"10,529,632"	"12,654,639"	"11,984,688"	"14,785,322"	"14,616,858"
20221208	"58,700"	"59,200"	"59,200"	"58,600"	"59,600"	"61,100"	"58,237"	"58,784"	"63,426"	"61,100"	"58,774"	"12,986,815"	"13,614,950"	"12,460,065"	"14,818,577"	"14,771,224"
